,単語,ネガポジ値
973,キズがある,-1
974,キツイ,-1
975,キリがない,-1
976,ギクシャク,-1
977,ギュウギュウだ,-1
978,ギュウギュウです,-1
979,クセがある,-1
980,クセはある,-1
981,グルーミー,-1
982,グロだ,-1
983,グロです,-1
984,グロと,-1
985,グロの,-1
986,グロッキーだ,-1
987,グロッキーです,-1
988,グロッキーと,-1
989,グロッキーの,-1
990,グロテスクだ,-1
991,グロテスクです,-1
992,コワい,-1
993,ショッキングだ,-1
994,ショッキングです,-1
995,ショックがある,-1
996,ショボ過ぎ,-1
997,シリアスだ,-1
998,シリアスです,-1
999,ジャジャ馬だ,-1
1000,ジャジャ馬です,-1
1001,ジャジャ馬と,-1
1002,ジャジャ馬の,-1
1003,ズレる,-1
1004,センスがない,-1
1005,ダーティ,-1
1006,ダーティー,-1
1007,ダサい,-1
1008,チグハグだ,-1
1009,チグハグです,-1
1010,チャチ,-1
1011,チャラチャラ,-1
1012,ディプレッション,-1
1013,デカ過ぎ,-1
1014,デプレッション,-1
1015,ノイジー,-1
1016,ノンセンスだ,-1
1017,ノンセンスです,-1
1018,ノンセンスと,-1
1019,ノンセンスの,-1
1020,バタくさい,-1
1021,バタ臭い,-1
1022,バラツキがある,-1
1023,パワー不足,-1
1024,ヒステリックだ,-1
1025,ヒステリックです,-1
1026,ヒヤヒヤ,-1
1027,ビビるやすい,-1
1028,ヘンテコだ,-1
1029,ヘンテコです,-1
1030,ミーハーだ,-1
1031,ミーハーです,-1
1032,ミスマッチ,-1
1033,メチャメチャだ,-1
1034,メチャメチャです,-1
1035,メランコリック,-1
1036,メリハリがない,-1
1037,ヤワだ,-1
1038,ヤワです,-1
1039,ヨレヨレだ,-1
1040,ヨレヨレです,-1
1041,ヨレヨレと,-1
1042,ヨレヨレの,-1
1043,ワーストワンだ,-1
1044,ワーストワンです,-1
1045,ワーストワンと,-1
1046,ワーストワンの,-1
1047,ワンマンだ,-1
1048,ワンマンです,-1
1049,唖然だ,-1
1050,唖然です,-1
1051,唖然と,-1
1052,唖然の,-1
1053,阿呆くさい,-1
1054,阿呆だ,-1
1055,阿呆です,-1
1056,阿呆と,-1
1057,阿呆の,-1
1058,阿呆らしい,-1
1059,阿呆臭い,-1
1060,哀しい,-1
1061,哀しむ,-1
1062,哀れだ,-1
1063,愛想がない,-1
1064,愛想の無い,-1
1065,悪趣味だ,-1
1066,悪趣味です,-1
1067,悪趣味と,-1
1068,悪趣味の,-1
1069,悪い,-1
1070,悪賢い,-1
1071,悪達者だ,-1
1072,悪達者です,-1
1073,悪達者と,-1
1074,悪達者の,-1
1075,悪辣だ,-1
1076,悪辣です,-1
1077,扱いにくい,-1
1078,扱い難い,-1
1079,安っぽい,-1
1080,安普請的だ,-1
1081,安普請的です,-1
1082,安物だ,-1
1083,安物です,-1
1084,安物と,-1
1085,安物の,-1
1086,暗い,-1
1087,暗む,-1
1088,暗愚だ,-1
1089,暗愚です,-1
1090,暗愚と,-1
1091,暗愚の,-1
1092,暗鬱だ,-1
1093,暗鬱です,-1
1094,暗澹だ,-1
1095,暗澹です,-1
1096,暗澹と,-1
1097,暗澹の,-1
1098,意に介さない,-1
1099,意気地無しだ,-1
1100,意気地無しです,-1
1101,意気地無しと,-1
1102,意気地無しの,-1
1103,意固地だ,-1
1104,意固地です,-1
1105,意志薄弱だ,-1
1106,意志薄弱です,-1
1107,意志薄弱と,-1
1108,意志薄弱の,-1
1109,意地が悪い,-1
1110,意地の悪い,-1
1111,意地っぱりだ,-1
1112,意地っぱりです,-1
1113,意地っぱりと,-1
1114,意地っぱりの,-1
1115,意地っ張りだ,-1
1116,意地っ張りです,-1
1117,意地っ張りと,-1
1118,意地っ張りの,-1
1119,意地汚い,-1
1120,意地張りだ,-1
1121,意地張りです,-1
1122,意地張りと,-1
1123,意地張りの,-1
1124,違和感がある,-1
1125,一卷の終りだ,-1
1126,一卷の終りです,-1
1127,一卷の終りと,-1
1128,一卷の終りの,-1
1129,一巻の終わる,-1
1130,一筋縄ではいかない,-1
1131,一苦労,-1
1132,一文惜しみだ,-1
1133,一文惜しみです,-1
1134,一文惜しみと,-1
1135,一文惜しみの,-1
1136,引っ込みがちだ,-1
1137,引っ込みがちです,-1
1138,引っ込み思案だ,-1
1139,引っ込み思案です,-1
1140,引っ込み思案と,-1
1141,引っ込み思案の,-1
1142,淫蕩だ,-1
1143,淫蕩です,-1
1144,淫蕩と,-1
1145,淫蕩の,-1
1146,淫猥だ,-1
1147,淫猥です,-1
1148,淫靡だ,-1
1149,淫靡です,-1
1150,淫靡と,-1
1151,淫靡の,-1
1152,陰うつだ,-1
1153,陰うつです,-1
1154,陰気臭い,-1
1155,陰険だ,-1
1156,陰険です,-1
1157,陰惨だ,-1
1158,陰惨です,-1
1159,陰湿だ,-1
1160,陰湿です,-1
1161,陰鬱だ,-1
1162,陰鬱です,-1
1163,烏滸がましい,-1
1164,迂遠だ,-1
1165,迂遠です,-1
1166,迂愚だ,-1
1167,迂愚です,-1
1168,迂闊だ,-1
1169,迂闊です,-1
1170,雲泥の差がある,-1
1171,雲泥の差だ,-1
1172,雲泥の差です,-1
1173,雲泥の差と,-1
1174,雲泥の差の,-1
1175,影がうすい,-1
1176,影が薄い,-1
1177,厭だ,-1
1178,厭です,-1
1179,厭わしい,-1
1180,怨めしい,-1
1181,縁がない,-1
1182,遠慮会釈もない,-1
1183,汚い,-1
1184,汚らしい,-1
1185,汚らわしい,-1
1186,汚れやすい,-1
1187,汚穢だ,-1
1188,汚穢です,-1
1189,汚穢と,-1
1190,汚穢の,-1
1191,奥行きがない,-1
1192,押しが強い,-1
1193,押し付けがましい,-1
1194,横柄だ,-1
1195,横柄です,-1
1196,横様だ,-1
1197,横様です,-1
